index,RSI
2023-02-03,54.0304
2023-02-02,54.0673
2023-02-01,53.1036
2023-01-31,52.2063
2023-01-30,52.7812
2023-01-27,53.3422
2023-01-26,52.9413
2023-01-25,51.3953
2023-01-24,52.1182
2023-01-23,49.6439
2023-01-20,48.6082
2023-01-19,48.7076
2023-01-18,49.1194
2023-01-17,48.8596
2023-01-13,47.9187
2023-01-12,48.1574
2023-01-11,46.9272
2023-01-10,46.5485
2023-01-09,46.4635
2023-01-06,45.8722
2023-01-05,46.1162
2023-01-04,45.7202
2023-01-03,45.7254
2022-12-30,45.2345
2022-12-29,45.5101
2022-12-28,44.9753
2022-12-27,46.1671
2022-12-23,46.0710
2022-12-22,46.5408
2022-12-21,47.0624
2022-12-20,46.5858
2022-12-19,47.8693
2022-12-16,47.4147
2022-12-15,47.6184
2022-12-14,49.6325
2022-12-13,50.5432
2022-12-12,48.7238
2022-12-09,49.2208
2022-12-08,49.9494
2022-12-07,49.6283
2022-12-06,50.3493
2022-12-05,51.9082
2022-12-02,51.0912
2022-12-01,51.8318
2022-11-30,50.7565
2022-11-29,50.6379
2022-11-28,50.4320
2022-11-25,51.4860
2022-11-23,52.0739
2022-11-22,52.2480
2022-11-21,51.3826
2022-11-18,52.0195
2022-11-17,52.3077
2022-11-16,53.6042
2022-11-15,54.2028
2022-11-14,56.7959
2022-11-11,56.8262
2022-11-10,55.7236
2022-11-09,55.0961
2022-11-08,53.7134
2022-11-07,53.3626
2022-11-04,53.0715
2022-11-03,49.8247
2022-11-02,52.5052
2022-11-01,53.6663
2022-10-31,52.8244
2022-10-28,53.2303
2022-10-27,53.5717
2022-10-26,53.5109
2022-10-25,52.0905
2022-10-24,51.9772
2022-10-21,50.5501
2022-10-20,50.8191
2022-10-19,49.8937
2022-10-18,50.5119
2022-10-17,49.3367
2022-10-14,50.9202
2022-10-13,48.4158
2022-10-12,52.6575
2022-10-11,52.9364
2022-10-10,52.8701
2022-10-07,53.2506
2022-10-06,53.0142
2022-10-05,53.7859
2022-10-04,54.3653
2022-10-03,52.7881
2022-09-30,51.9168
2022-09-29,53.2768
2022-09-28,52.4909
2022-09-27,53.0297
2022-09-26,52.5265
2022-09-23,52.3221
2022-09-22,55.4869
2022-09-21,55.7192
2022-09-20,56.0714
2022-09-19,54.8150
2022-09-16,54.7499
2022-09-15,57.6398
2022-09-14,56.9903
2022-09-13,55.9067
2022-09-12,57.9067
2022-09-09,57.3216
2022-09-08,55.3621
2022-09-07,53.8416
2022-09-06,54.4087
2022-09-02,53.6576
2022-09-01,53.8605
2022-08-31,55.0762
2022-08-30,57.1756
2022-08-29,56.7211
2022-08-26,58.7853
2022-08-25,58.1611
2022-08-24,57.1684
2022-08-23,56.6492
2022-08-22,55.1219
2022-08-19,56.8296
2022-08-18,57.3060
2022-08-17,56.9006
2022-08-16,58.1737
2022-08-15,57.3628
2022-08-12,56.2017
2022-08-11,55.7177
2022-08-10,54.0448
2022-08-09,53.3355
2022-08-08,53.1910
2022-08-05,51.6641
2022-08-04,53.7955
2022-08-03,53.7686
2022-08-02,52.8251
2022-08-01,53.3606
2022-07-29,52.8232
2022-07-28,52.6340
2022-07-27,51.4460
2022-07-26,51.4364
2022-07-25,50.5187
2022-07-22,51.4359
2022-07-21,50.2601
2022-07-20,49.4503
2022-07-19,48.5986
2022-07-18,48.3659
2022-07-15,47.5098
2022-07-14,46.3716
2022-07-13,46.2118
2022-07-12,47.0020
2022-07-11,47.5147
2022-07-08,47.7578
2022-07-07,47.7746
2022-07-06,47.2806
2022-07-05,47.4151
2022-07-01,47.9694
2022-06-30,48.2530
2022-06-29,50.0655
2022-06-28,50.5706
2022-06-27,50.0075
2022-06-24,49.3713
2022-06-23,49.4067
2022-06-22,48.4223
2022-06-21,49.3821
2022-06-17,47.5155
2022-06-16,48.2755
2022-06-15,50.4343
2022-06-14,50.1251
2022-06-13,50.7584
2022-06-10,52.2123
2022-06-09,53.9631
2022-06-08,54.7298
2022-06-07,54.4364
2022-06-06,54.4148
2022-06-03,53.4263
2022-06-02,51.8562
2022-06-01,54.5986
2022-05-31,56.5568
2022-05-27,55.8028
2022-05-26,53.1981
2022-05-25,53.9618
2022-05-24,53.8665
2022-05-23,53.4284
2022-05-20,53.6821
2022-05-19,52.7545
2022-05-18,53.1201
2022-05-17,52.5058
2022-05-16,51.6432
2022-05-13,50.4306
2022-05-12,49.6887
2022-05-11,50.9674
2022-05-10,51.8738
2022-05-09,53.5121
2022-05-06,53.1761
2022-05-05,53.5567
2022-05-04,49.7204
2022-05-03,46.4578
2022-05-02,46.6569
2022-04-29,47.1583
2022-04-28,46.9672
2022-04-27,45.8426
2022-04-26,47.2386
2022-04-25,47.3940
2022-04-22,48.7969
2022-04-21,50.9144
2022-04-20,51.0260
2022-04-19,49.1959
2022-04-18,49.3075
2022-04-14,49.6380
2022-04-13,48.6481
2022-04-12,48.9426
2022-04-11,48.7275
2022-04-08,49.5300
2022-04-07,49.4284
2022-04-06,50.0210
2022-04-05,51.7255
2022-04-04,51.3043
2022-04-01,51.2838
2022-03-31,51.0416
2022-03-30,50.8330
2022-03-29,50.4203
2022-03-28,50.3363
2022-03-25,49.8693
2022-03-24,48.9961
2022-03-23,48.3020
2022-03-22,47.6837
2022-03-21,47.6890
2022-03-18,47.3478
2022-03-17,46.0618
2022-03-16,45.7150
2022-03-15,44.1341
2022-03-14,45.3081
2022-03-11,45.7995
2022-03-10,45.1774
2022-03-09,45.6642
2022-03-08,43.0457
2022-03-07,44.1590
2022-03-04,44.4601
2022-03-03,45.7994
2022-03-02,45.1267
2022-03-01,45.8118
2022-02-28,45.5249
2022-02-25,44.2594
2022-02-24,42.3082
2022-02-23,44.9516
2022-02-22,44.3082
2022-02-18,45.7815
2022-02-17,48.4616
2022-02-16,52.1199
2022-02-15,50.6745
2022-02-14,50.3529
2022-02-11,50.9064
2022-02-10,50.9032
2022-02-09,50.5243
2022-02-08,48.5219
2022-02-07,48.2728
2022-02-04,47.7724
2022-02-03,48.3159
2022-02-02,49.5689
2022-02-01,49.8340
2022-01-31,46.3161
2022-01-28,45.9225
2022-01-27,47.1763
2022-01-26,46.9484
2022-01-25,46.3366
2022-01-24,45.9535
2022-01-21,47.1986
2022-01-20,48.2568
2022-01-19,49.4251
2022-01-18,49.9505
2022-01-14,50.1218
2022-01-13,51.9873
2022-01-12,52.3438
2022-01-11,49.4456
2022-01-10,50.0218
2022-01-07,50.5438
2022-01-06,50.5421
2022-01-05,51.5795
2022-01-04,51.4193
2022-01-03,51.0473
2021-12-31,50.6055
2021-12-30,50.1155
2021-12-29,50.1969
2021-12-28,50.9464
2021-12-27,49.8980
2021-12-23,49.2732
2021-12-22,48.9987
2021-12-21,48.7437
2021-12-20,48.3726
2021-12-17,49.4330
2021-12-16,51.9460
2021-12-15,49.7329
2021-12-14,52.6063
2021-12-13,55.8641
2021-12-10,55.4683
2021-12-09,55.6516
2021-12-08,55.5833
2021-12-07,54.3679
2021-12-06,54.1592
2021-12-03,56.1470
2021-12-02,55.9527
2021-12-01,57.7519
2021-11-30,58.7812
2021-11-29,58.2370
2021-11-26,57.2971
2021-11-24,58.8033
2021-11-23,60.9054
2021-11-22,62.0864
2021-11-19,60.1795
2021-11-18,60.8516
2021-11-17,60.2898
2021-11-16,59.7458
2021-11-15,61.1652
2021-11-12,60.6758
2021-11-11,59.7927
2021-11-10,60.5425
2021-11-09,62.9046
2021-11-08,62.3038
2021-11-05,62.0143
2021-11-04,62.0114
2021-11-03,59.7382
2021-11-02,59.3485
2021-11-01,59.3485
2021-10-29,56.7033
2021-10-28,55.5679
2021-10-27,56.3380
2021-10-26,56.9562
2021-10-25,56.1726
2021-10-22,56.3013
2021-10-21,56.0348
2021-10-20,57.0146
2021-10-19,58.2195
2021-10-18,55.4802
2021-10-15,56.8020
2021-10-14,55.2448
2021-10-13,53.9939
2021-10-12,53.8894
2021-10-11,53.3376
2021-10-08,54.8916
2021-10-07,55.8262
2021-10-06,54.6941
2021-10-05,54.1198
2021-10-04,54.5718
2021-10-01,54.6783
2021-09-30,55.6261
2021-09-29,54.7324
2021-09-28,54.7773
2021-09-27,56.3650
2021-09-24,56.8057
2021-09-23,56.6302
2021-09-22,55.3475
2021-09-21,55.1552
2021-09-20,54.7959
2021-09-17,57.4791
2021-09-16,58.3998
2021-09-15,58.0354
2021-09-14,58.4225
2021-09-13,61.0423
2021-09-10,62.8264
2021-09-09,60.9010
2021-09-08,62.4456
2021-09-07,61.9922
2021-09-03,62.6576
2021-09-02,62.0949
2021-09-01,61.5583
2021-08-31,61.6293
2021-08-30,62.6031
2021-08-27,61.2998
2021-08-26,61.3548
2021-08-25,60.8026
2021-08-24,60.5677
2021-08-23,60.0706
2021-08-20,58.1132
2021-08-19,57.6219
2021-08-18,59.1802
2021-08-17,60.2300
2021-08-16,63.2298
2021-08-13,64.8097
2021-08-12,64.4370
2021-08-11,65.7154
2021-08-10,64.5007
2021-08-09,63.2382
2021-08-06,62.5989
2021-08-05,60.5745
2021-08-04,60.4308
2021-08-03,59.6099
2021-08-02,60.6344
2021-07-30,59.5742
2021-07-29,58.4560
2021-07-28,56.9632
2021-07-27,57.4039
2021-07-26,57.2852
2021-07-23,57.5814
2021-07-22,57.5552
2021-07-21,58.1151
2021-07-20,54.9793
2021-07-19,53.8931
2021-07-16,57.5329
2021-07-15,56.5523
2021-07-14,57.4063
2021-07-13,57.5262
2021-07-12,55.4230
2021-07-09,53.9063
2021-07-08,52.6800
2021-07-07,53.3503
2021-07-06,54.2315
2021-07-02,54.5682
2021-07-01,54.0414
2021-06-30,53.2087
2021-06-29,54.1739
2021-06-28,53.6366
2021-06-25,53.6679
2021-06-24,53.2648
2021-06-23,52.3732
2021-06-22,52.0543
2021-06-21,51.6890
2021-06-18,51.8290
2021-06-17,52.8083
2021-06-16,53.0594
2021-06-15,53.9750
2021-06-14,54.2802
2021-06-11,54.1199
2021-06-10,55.5689
2021-06-09,55.7530
2021-06-08,54.8665
2021-06-07,55.5931
2021-06-04,54.5093
2021-06-03,54.4850
2021-06-02,55.0347
2021-06-01,54.8116
2021-05-28,54.4892
2021-05-27,53.5240
2021-05-26,52.1855
2021-05-25,52.7884
2021-05-24,52.8157
2021-05-21,52.5725
2021-05-20,51.9628
2021-05-19,51.5975
2021-05-18,52.5324
2021-05-17,53.3872
2021-05-14,52.6682
2021-05-13,52.4370
2021-05-12,52.5422
2021-05-11,51.9420
2021-05-10,53.7576
2021-05-07,51.8481
2021-05-06,52.6331
2021-05-05,54.6781
2021-05-04,54.1530
2021-05-03,55.6943
2021-04-30,54.8283
2021-04-29,56.3109
2021-04-28,55.8353
2021-04-27,55.9009
2021-04-26,54.5892
2021-04-23,53.1192
2021-04-22,53.1080
2021-04-21,51.2538
2021-04-20,53.3406
2021-04-19,53.2010
2021-04-16,52.3744
2021-04-15,52.9337
2021-04-14,51.7064
2021-04-13,51.5423
2021-04-12,51.3845
2021-04-09,51.1198
2021-04-08,50.8314
2021-04-07,52.6876
2021-04-06,51.9935
2021-04-05,52.9761
2021-04-01,51.7814
2021-03-31,51.5383
2021-03-30,51.3267
2021-03-29,52.1504
2021-03-26,52.4845
2021-03-25,51.2445
2021-03-24,51.8658
2021-03-23,52.5379
2021-03-22,52.7258
2021-03-19,52.9861
2021-03-18,53.6505
2021-03-17,53.1938
2021-03-16,54.8011
2021-03-15,54.0112
2021-03-12,54.9881
2021-03-11,54.2188
2021-03-10,52.8139
2021-03-09,51.4809
2021-03-08,51.7291
2021-03-05,51.5761
2021-03-04,51.9625
2021-03-03,53.8562
2021-03-02,53.8521
2021-03-01,55.3600
2021-02-26,53.9033
2021-02-25,56.0664
2021-02-24,54.7037
2021-02-23,53.6590
2021-02-22,54.6764
2021-02-19,52.5655
2021-02-18,54.0757
2021-02-17,57.5279
2021-02-16,59.9663
2021-02-12,58.6457
2021-02-11,56.6934
2021-02-10,58.3650
2021-02-09,58.1537
2021-02-08,58.0701
2021-02-05,57.3717
2021-02-04,56.4054
2021-02-03,60.9423
2021-02-02,62.0093
2021-02-01,61.1778
2021-01-29,61.0178
2021-01-28,63.0400
2021-01-27,62.9616
2021-01-26,65.8472
2021-01-25,65.0513
2021-01-22,64.8913
2021-01-21,68.2309
2021-01-20,70.8394
2021-01-19,69.6016
2021-01-15,69.4054
2021-01-14,69.6263
2021-01-13,70.6883
2021-01-12,69.6233
2021-01-11,70.2994
2021-01-08,72.9230
2021-01-07,72.7455
2021-01-06,69.2115
2021-01-05,66.1299
2021-01-04,66.2468
2020-12-31,65.1567
2020-12-30,64.9983
2020-12-29,65.6499
2020-12-28,66.6073
2020-12-24,66.2295
2020-12-23,65.7046
2020-12-22,64.5386
2020-12-21,62.3523
2020-12-18,63.2128
2020-12-17,63.1372
2020-12-16,63.8570
2020-12-15,63.3124
2020-12-14,65.2201
2020-12-11,65.1082
2020-12-10,65.5379
2020-12-09,66.9165
2020-12-08,65.6346
2020-12-07,65.7527
